company_name,filing_type
Apple Inc,10-K
Microsoft Corp,10-K
Amazon.com Inc,10-K
Alphabet Inc,10-K
Meta Platforms Inc,10-K
NVIDIA Corp,10-K
Tesla Inc,10-K
Broadcom Inc,10-K
Oracle Corp,10-K
Salesforce Inc,10-K
Advanced Micro Devices Inc,10-K
Intel Corp,10-K
International Business Machines Corp,10-K
Cisco Systems Inc,10-K
Adobe Inc,10-K
JPMorgan Chase & Co,10-K
Bank of America Corp,10-K
Wells Fargo & Co,10-K
Goldman Sachs Group Inc,10-K
Morgan Stanley,10-K
Citigroup Inc,10-K
Charles Schwab Corp,10-K
American Express Co,10-K
Visa Inc,10-K
Mastercard Inc,10-K
UnitedHealth Group Inc,10-K
Johnson & Johnson,10-K
Pfizer Inc,10-K
Eli Lilly and Co,10-K
Abbott Laboratories,10-K
Merck & Co Inc,10-K
AbbVie Inc,10-K
Amgen Inc,10-K
Bristol-Myers Squibb Co,10-K
Walmart Inc,10-K
Procter & Gamble Co,10-K
Coca-Cola Co,10-K
PepsiCo Inc,10-K
Costco Wholesale Corp,10-K
McDonald's Corp,10-K
Nike Inc,10-K
Starbucks Corp,10-K
Home Depot Inc,10-K
Walt Disney Co,10-K
Netflix Inc,10-K
Exxon Mobil Corp,10-K
Chevron Corp,10-K
ConocoPhillips,10-K
Schlumberger Ltd,10-K
Duke Energy Corp,10-K
NextEra Energy Inc,10-K
Southern Co,10-K
Caterpillar Inc,10-K
Deere & Co,10-K
3M Co,10-K
Honeywell International Inc,10-K
General Electric Co,10-K
Union Pacific Corp,10-K
Lockheed Martin Corp,10-K
Boeing Co,10-K
